Tableau seuil = -60mV
2,5
4,8
6,7
8,6
10,8
12,8
14,10
16,9
18,5
20,5
22,6
24,6
26,8
28,3
30,10
32,8
34,5
36,14
38,5
40,2
42,5
44,4
46,9
48,10
50,13
52,13
54,8
56,3
58,12
60,12
62,9
64,7
66,5
68,6
70,9
72,5
74,10
76,10
78,7
80,5
82,9
84,11
86,7
88,7
90,8
92,5
94,7
96,4
98,11
100,3
102,6
104,8
106,12
108,6
110,5
112,8
114,6
116,7
118,4
120,7
122,6
124,11
126,12
128,9
130,11
132,6
134,11
136,5
138,13
140,12
142,6
144,8
146,11
148,8
150,5
152,9
154,12
156,9
158,9
160,15
162,11
164,9
166,5
168,9
170,10
172,7
174,9
176,10
178,8
180,8
182,11
184,8
186,13
188,9
190,10
192,11
194,9
196,7
198,10
200,10
202,10
204,7

Tableau seuil = -100mV
2,13
4,10
6,2
8,9
10,9
12,1
14,8
16,9
18,10
20,5
22,12
24,8
26,7
28,7
30,14
32,5
34,6
36,10
38,5
40,7
42,9
44,9
46,9
48,8
50,13
52,6
54,14
56,4
58,17
60,5
62,11
64,7
66,5
68,6
70,11
72,9
74,4
76,10
78,6
80,5
82,5

Tableau seuil = -200mV
2,8
4,4
6,6
8,5
10,4
12,1
14,4
16,1
18,3
20,4
22,6
24,1
26,2
28,3
30,3
32,3
34,3
36,6
38,3
40,6
42,3
44,1
46,3
48,2
50,4
52,1
54,7
56,1
58,4
60,2
62,2
64,2
66,5
68,3
70,3
72,4
74,5
76,3
78,5
80,6
82,1
84,2
86,1
88,2
90,2
92,0
94,4
96,6
98,0

Tableau seuil = -20mV
2,15
4,23
6,17
8,9
10,14
12,15
14,10
16,17
18,16
20,21
22,16
24,16
26,17
28,12
30,19
32,15
34,10
36,20
38,19
40,19
42,14
44,13
46,17
48,7
50,11
52,13
54,14
56,18
58,13
60,16
62,11
64,17
66,7
68,15
70,14
72,12
74,12
76,15
78,17
80,18
82,16
84,14
86,18
88,12
90,17
92,16
94,17
96,12
98,15
100,11
102,13
104,11
106,19
108,10
110,16
112,13
114,13
116,21
118,6
120,13
122,13
124,13
126,15
128,14
130,16
132,15
134,18
136,17
138,10
140,11
142,14
144,7
146,21
148,18
150,12
152,26

Tableau vanadium
5,1874
10,1729
15,1530
20,1484
25,1295
30,1312
35,1178
40,1074
45,1053
50,1011
55,860
60,829
65,798
70,781
75,764
80,742
85,719
90,680
95,638
100,596
105,583
110,559
115,562
120,536
125,525
130,532
135,498
140,465
145,483
150,451
155,438
160,423
165,403
170,420
175,403
180,406
185,342
190,354
195,364
200,329
205,346
210,344
215,303
220,338
225,301
230,280
235,279
240,267
245,249
250,263
255,297
260,253
265,248
270,243
275,258
280,249
285,210
290,227
295,223
300,224
305,216
310,205
315,177
320,220
325,189
330,164
335,170
340,164
345,191
350,154
355,197
360,149
365,153
370,160
375,155
380,156
385,150
390,159
395,145
400,148
405,121
410,114
415,119
420,153
425,116
430,139
435,124
440,125
445,96
450,106
455,113
460,103
465,102
470,103
475,100
480,87
485,99
490,99
495,103
500,97
505,79
510,102
515,94
520,82
525,70
530,75
535,67

Tableau argent
10,2004
15,1813
20,1676
25,1484
30,1370
35,1263
40,1133
45,1149
50,1026
55,982
60,916
65,873
70,831
75,772
80,706
85,657
90,688
95,649
100,567
105,585
110,598
115,514
120,515
125,488
130,474
135,459
140,427
145,406
150,443
155,460
160,390
165,340
170,371
175,389
180,353
185,366
190,296
195,319
200,322
205,333
210,318
215,306
220,306
225,296
230,281
235,282
240,260
245,268
250,285
255,259
260,254
265,241
270,212
275,237
280,228
285,218
290,203
295,199
300,196
305,207
310,184
315,197
320,197
325,211
330,184
335,179
340,178
345,165
350,191
355,164
360,153
365,182
370,159
375,148
380,157
385,145
390,154
395,138
400,157
405,129
410,122
415,123
420,135
425,134
430,102
435,105
440,120
445,121
450,102
455,89
460,113
465,109
470,100
475,108

Tableau cuivre
5,212
10,189
15,208
20,201
25,182
30,156
35,216
40,174
45,177
50,154
55,170
60,164
65,171
70,180
75,135
80,167
85,177
90,148
95,155
100,159
105,176
110,126
115,149
120,149
125,152
130,153
135,155
140,149
145,141
150,168
155,142
160,126
165,113
170,140
175,111
180,151
185,137
190,130
195,122
200,129
205,123
210,122
215,129
220,120
225,135
230,99
235,125
240,113
245,116
250,123
255,131
260,112
265,106
270,105
275,97
280,108
285,115
290,118
295,117
300,114
305,112
310,102
315,104
320,89
325,88
330,101
335,106
340,107
345,104
350,97
355,96
360,99
365,97
370,92
375,101
380,76
385,83
390,82
395,103
400,66
405,89
410,102
415,65
420,84
425,76
430,104
435,95
440,81
445,83
450,75
455,74
460,96
465,66
470,71
475,78
480,80
485,62
490,63
495,90
500,72
505,66
510,65
515,68
520,82
525,71
530,74
535,69
540,68
545,86
550,69
555,69
560,67
565,80
570,44
575,71
580,57
585,71
590,66
595,70
600,63
605,57
610,69
615,54
620,50
625,59
630,49
635,65
640,74
645,62
650,60
655,62
660,63
665,65
670,59
675,49
680,55
685,53
690,56
695,61
700,55
705,43
710,51
715,50
720,56
725,42
730,54
735,63
740,56
745,55
750,53
755,47
760,43
765,37
770,58
775,51
780,51
785,46
790,44
795,52
800,32
805,46
810,56
815,47
820,54
825,46
